AÑO;MES;ESTACION_DE_MEDICION;CCAA;PROVINCIA;TEMPERATURA_MINIMA;TEMPERATURA_MAXIMA;TEMPERATURA_MEDIA
2021;10;ABENOJAR (AUTOMATICA);Castilla - La Mancha;Ciudad Real;6,3;29,4;17,629
2021;10;ABIA DE OBISPALIA;Castilla - La Mancha;Cuenca;0,3;24,8;13,75
2021;10;ABLA;Andalucía;Almería;9,3;28,5;18,195
2021;10;ADEJE-CALDERA B;Canarias;Santa Cruz de Tenerife;16,1;31,1;23,027
2021;10;ADEMUZ;Comunitat Valenciana;Valencia/València;-0,1;28,3;15,334
2021;10;AGAETE - SUERTE ALTA;Canarias;Las Palmas;15,1;36,8;21,919
2021;10;AGAETE-CASCO;Canarias;Las Palmas;18,3;31,4;23,737
2021;10;AGUAS DE CABREIROA;Galicia;Ourense;-0,7;28,5;14,319
2021;10;AGUILAR (LAGUNA ZOÑAR AUTOMATICA);Andalucía;Córdoba;8,1;31,1;19,958
2021;10;AGUILAR DE CAMPOO;Castilla y León;Palencia;-3,7;23,7;10,834
2021;10;AGULO-JUEGO BOLAS;Canarias;Santa Cruz de Tenerife;11,2;33,7;19,316
2021;10;AGURAIN/SALVATIERRA, OPAKUA;País Vasco;Araba/Álava;2,7;22,4;12,616
2021;10;AGÜIMES-EL MILANO;Canarias;Las Palmas;16,1;37,5;23,156
2021;10;ALAJAR, CABEZO MOLINOS;Andalucía;Huelva;9,2;30,2;20,102
2021;10;ALBACETE,OBS.;Castilla - La Mancha;Albacete;4,3;27,9;17,353
2021;10;ALBACETE/LOS LLANOS;Castilla - La Mancha;Albacete;2,7;27,8;16,54
2021;10;ALBARRACÍN;Aragón;Teruel;-0,1;24,6;12,387
2021;10;ALBERCA DE ZANCARA;Castilla - La Mancha;Cuenca;4,5;26,4;15,823
2021;10;ALBOX;Andalucía;Almería;10,5;32,6;19,935
2021;10;ALBURQUERQUE;Extremadura;Badajoz;5,1;29,4;18,242
2021;10;ALCALA DE HENARES-ENCÍN;Comunidad de Madrid;Madrid;1,9;27,6;15,315
2021;10;ALCAZAR DE SAN JUAN;Castilla - La Mancha;Ciudad Real;6,8;28,7;17,485
2021;10;ALCAÑICES-VIVINERA;Castilla y León;Zamora;2,8;27,1;13,845
2021;10;ALCAÑIZ;Aragón;Teruel;2,5;25,4;14,674
2021;10;ALCONCHEL (AUTOMATICA);Extremadura;Badajoz;8,6;30,5;19,444
2021;10;ALCOY;Comunitat Valenciana;Alicante/Alacant;8,7;28,9;17,781
2021;10;ALCUESCAR;Extremadura;Cáceres;6,3;28,6;18,434
2021;10;ALCÁZAR DEL REY;Castilla - La Mancha;Cuenca;1,4;25,2;14,612
2021;10;ALDEANUEVA DE SERREZUELA-EL CERRO;Castilla y León;Segovia;3,8;24,0;13,424
2021;10;ALFARO, LA PLANA - DEPÓSITO;La Rioja;La Rioja;3,6;24,8;14,885
2021;10;ALFORJA;Cataluña;Tarragona;6,9;25,7;16,447
2021;10;ALGARROBO (LA MAYORA - AUTOMATICA);Andalucía;Málaga;13,8;26,9;20,455
2021;10;ALHAMA (COMARZA - AUT.);Región de Murcia;Murcia;9,3;30,6;19,529
2021;10;ALHAMA DE ARAGÓN, DEPÓSITO;Aragón;Zaragoza;-1,6;27,4;13,716
2021;10;ALICANTE;Comunitat Valenciana;Alicante/Alacant;12,0;30,3;20,445
2021;10;ALICANTE-ELCHE/AEROPUERTO;Comunitat Valenciana;Alicante/Alacant;12,5;30,8;20,282
2021;10;ALISEDA, LA UMBRÍA;Extremadura;Cáceres;4,9;28,7;17,874
2021;10;ALLARIZ-ROIMELO;Galicia;Ourense;2,3;27,9;14,626
2021;10;ALMADEN PLATA (LAS NAVAS AUTOMATICA);Andalucía;Sevilla;9,6;30,7;19,727
2021;10;ALMAGRO / FAMET;Castilla - La Mancha;Ciudad Real;2,5;28,3;15,879
2021;10;ALMANSA;Castilla - La Mancha;Albacete;3,5;26,0;15,806
2021;10;ALMAZUL;Castilla y León;Soria;-1,4;24,2;12,385
2021;10;ALMENDRALEJO;Extremadura;Badajoz;8,0;29,2;18,76
2021;10;ALMERÍA/AEROPUERTO;Andalucía;Almería;15,2;29,3;21,798
2021;10;ALMONTE, DOÑANA;Andalucía;Huelva;8,0;32,2;20,145
2021;10;ALMUDÉVAR;Aragón;Huesca;0,2;25,8;14,436
2021;10;ALOSNO, THARSIS-MINAS;Andalucía;Huelva;9,3;31,0;20,321
2021;10;ALPANDEIRE;Andalucía;Málaga;10,2;30,2;20,019
2021;10;ALPEDRETE;Comunidad de Madrid;Madrid;3,8;27,1;15,679
2021;10;ALTAMIRA;Cantabria;Cantabria;6,4;26,8;15,284
2021;10;ALTO CAMPOO;Cantabria;Cantabria;0,0;17,7;8,753
2021;10;ALTO DE LOS LEONES;Castilla y León;Segovia;1,4;19,2;10,815
