AÑO;MES;ESTACION_DE_MEDICION;CCAA;PROVINCIA;PRECIPITACION_ACUMULADA;INTENSIDAD_MAXIMA_PRECIPITACION
2015;10;DAROCA;Aragón;Zaragoza;22,8;318
2015;10;DEGAÑA, COTO CORTÉS;Principado de Asturias;Asturias;195,7;324
2015;10;DEHESA-REFUGIO;Canarias;Santa Cruz de Tenerife;44,2;204
2015;10;DON BENITO;Extremadura;Badajoz;134,4;552
2015;10;DONOSTIA / SAN SEBASTIÁN, IGELDO;País Vasco;Gipuzkoa;60,1;288
2015;10;DONOSTIA/SAN SEBASTIÁN AEROPUERTO;País Vasco;Gipuzkoa;94,5;282
2015;10;DOÑA MENCIA;Andalucía;Córdoba;70,3;240
2015;10;EJEA DE LOS CABALLEROS;Aragón;Zaragoza;8,8;84
2015;10;EL ARENOSILLO;Andalucía;Huelva;95,3;300
2015;10;EL BODÓN-BASE AEREA;Castilla y León;Salamanca;132,0;288
2015;10;EL BOSQUE, SAN JOSÉ;Andalucía;Cádiz;112,2;408
2015;10;EL CAMPILLO, EL ZUMAJO;Andalucía;Huelva;232,7;948
2015;10;EL CERRO DE ANDEVALO;Andalucía;Huelva;147,6;312
2015;10;EL EJIDO (AYUNTAMIENTO - AUTOMATICA);Andalucía;Almería;89,6;720
2015;10;EL GOLOSO (AUTOMÁTICA);Comunidad de Madrid;Madrid;40,2;324
2015;10;EL GRANADO (BOCACHANZA - AUTOMÁTICA);Andalucía;Huelva;83,6;396
2015;10;EL HIERRO/AEROPUERTO;Canarias;Santa Cruz de Tenerife;57,3;168
2015;10;EL MAILLO (BASE AVIONES - AUTOMATICA);Castilla y León;Salamanca;174,6;312
2015;10;EL PASO-C.F.;Canarias;Santa Cruz de Tenerife;185,8;504
2015;10;EL PAULAR- RASCAFRÍA (AUTOMÁTICA);Comunidad de Madrid;Madrid;43,4;240
2015;10;EL PEDREGAL;Castilla - La Mancha;Guadalajara;2,6;24
2015;10;EL PUENTE (CASA FORESTAL);Castilla y León;Zamora;243,9;456
2015;10;EL ROBLEDO;Castilla - La Mancha;Ciudad Real;61,8;480
2015;10;EL SOLERÀS;Cataluña;Lleida;19,2;516
2015;10;ELCHE/ALTABIX;Comunitat Valenciana;Alicante/Alacant;30,2;228
2015;10;ELGETA;País Vasco;Gipuzkoa;105,9;312
2015;10;ELGOIBAR;País Vasco;Gipuzkoa;82,1;312
2015;10;EMBALSE DE LA FUENSANTA (AUTOMÁTICA);Castilla - La Mancha;Albacete;6,0;72
2015;10;ENGUERA NAVALON;Comunitat Valenciana;Valencia/València;40,4;228
2015;10;ERRENTERIA, AÑARBE;País Vasco;Gipuzkoa;83,4;276
2015;10;ES CAPDELLÀ- SON VIC NOU;Illes Balears;Illes Balears;38,8;528
2015;10;ESCORCA-SON TORRELLA;Illes Balears;Illes Balears;43,6;384
2015;10;ESPIEL-C.TÉRMICA;Andalucía;Córdoba;106,8;504
2015;10;ESPOLLA 'LES ALBERES';Cataluña;Girona;69,1;618
2015;10;ESPOLLA, LES ALBERES;Cataluña;Girona;69,6;780
2015;10;ESTACA DE BARES;Galicia;A Coruña;55,0;72
2015;10;ESTEPONA;Andalucía;Málaga;19,6;60
